week,sku,retailer,orders_placed,promo_flag,promo_uplift,revenue_per_case,revenue_weight,priority_multiplier,unit_value,capacity_cases
13,SKU_01,RET_A,85,0,1.0,8.37,0.054588,1.04,8.704799999999999,4415
13,SKU_01,RET_B,70,0,1.0,8.37,0.054588,1.03,8.6211,4415
13,SKU_01,RET_C,58,0,1.0,8.37,0.054588,1.0,8.37,4415
13,SKU_01,RET_D,53,0,1.0,8.37,0.054588,1.0,8.37,4415
13,SKU_02,RET_A,91,1,1.33,12.21,0.079632,1.2272,14.984112000000001,4415
13,SKU_02,RET_B,55,0,1.0,12.21,0.079632,1.03,12.576300000000002,4415
13,SKU_02,RET_C,44,0,1.0,12.21,0.079632,1.0,12.21,4415
13,SKU_02,RET_D,32,0,1.0,12.21,0.079632,1.0,12.21,4415
13,SKU_03,RET_A,152,0,1.0,14.74,0.096133,1.04,15.329600000000001,4415
13,SKU_03,RET_B,121,0,1.0,14.74,0.096133,1.03,15.1822,4415
13,SKU_03,RET_C,93,0,1.0,14.74,0.096133,1.0,14.74,4415
13,SKU_03,RET_D,90,0,1.0,14.74,0.096133,1.0,14.74,4415
13,SKU_04,RET_A,167,0,1.0,10.41,0.067893,1.04,10.826400000000001,4415
13,SKU_04,RET_B,133,0,1.0,10.41,0.067893,1.03,10.7223,4415
13,SKU_04,RET_C,98,0,1.0,10.41,0.067893,1.0,10.41,4415
13,SKU_04,RET_D,79,0,1.0,10.41,0.067893,1.0,10.41,4415
13,SKU_05,RET_A,119,0,1.0,17.36,0.11322,1.04,18.0544,4415
13,SKU_05,RET_B,100,0,1.0,17.36,0.11322,1.03,17.8808,4415
13,SKU_05,RET_C,77,0,1.0,17.36,0.11322,1.0,17.36,4415
13,SKU_05,RET_D,70,0,1.0,17.36,0.11322,1.0,17.36,4415
13,SKU_06,RET_A,109,0,1.0,8.46,0.055175,1.04,8.7984,4415
13,SKU_06,RET_B,83,0,1.0,8.46,0.055175,1.03,8.7138,4415
13,SKU_06,RET_C,67,0,1.0,8.46,0.055175,1.0,8.46,4415
13,SKU_06,RET_D,60,0,1.0,8.46,0.055175,1.0,8.46,4415
13,SKU_07,RET_A,131,0,1.0,14.18,0.09248,1.04,14.7472,4415
13,SKU_07,RET_B,114,0,1.0,14.18,0.09248,1.03,14.6054,4415
13,SKU_07,RET_C,82,0,1.0,14.18,0.09248,1.0,14.18,4415
13,SKU_07,RET_D,60,0,1.0,14.18,0.09248,1.0,14.18,4415
13,SKU_08,RET_A,157,0,1.0,12.21,0.079632,1.04,12.698400000000001,4415
13,SKU_08,RET_B,121,0,1.0,12.21,0.079632,1.03,12.576300000000002,4415
13,SKU_08,RET_C,107,0,1.0,12.21,0.079632,1.0,12.21,4415
13,SKU_08,RET_D,87,0,1.0,12.21,0.079632,1.0,12.21,4415
13,SKU_09,RET_A,211,0,1.0,12.34,0.08048,1.04,12.8336,4415
13,SKU_09,RET_B,157,0,1.0,12.34,0.08048,1.03,12.7102,4415
13,SKU_09,RET_C,136,0,1.0,12.34,0.08048,1.0,12.34,4415
13,SKU_09,RET_D,94,0,1.0,12.34,0.08048,1.0,12.34,4415
13,SKU_10,RET_A,203,0,1.0,18.17,0.118503,1.1024,20.030608000000004,4415
13,SKU_10,RET_B,171,0,1.0,18.17,0.118503,1.0918,19.838006000000004,4415
13,SKU_10,RET_C,120,0,1.0,18.17,0.118503,1.06,19.2602,4415
13,SKU_10,RET_D,97,0,1.0,18.17,0.118503,1.06,19.2602,4415
13,SKU_11,RET_A,123,0,1.0,15.76,0.102785,1.1024,17.373824,4415
13,SKU_11,RET_B,115,0,1.0,15.76,0.102785,1.0918,17.206768,4415
13,SKU_11,RET_C,86,0,1.0,15.76,0.102785,1.06,16.7056,4415
13,SKU_11,RET_D,72,0,1.0,15.76,0.102785,1.06,16.7056,4415
13,SKU_12,RET_A,253,0,1.0,9.12,0.05948,1.04,9.4848,4415
13,SKU_12,RET_B,187,0,1.0,9.12,0.05948,1.03,9.3936,4415
13,SKU_12,RET_C,154,0,1.0,9.12,0.05948,1.0,9.12,4415
13,SKU_12,RET_D,112,0,1.0,9.12,0.05948,1.0,9.12,4415
14,SKU_01,RET_A,94,0,1.0,8.37,0.054588,1.04,8.704799999999999,4249
14,SKU_01,RET_B,78,0,1.0,8.37,0.054588,1.03,8.6211,4249
14,SKU_01,RET_C,57,0,1.0,8.37,0.054588,1.0,8.37,4249
