week,sku,retailer,orders_placed,shipments,fill_rate,promo_flag,promo_uplift,revenue_per_case,revenue_weight,priority_multiplier
1,SKU_05,RET_A,90,90.0,1.0,0,1.0,17.22,0.120327,1.07
1,SKU_11,RET_A,153,153.0,1.0,0,1.0,15.96,0.111523,1.1342
1,SKU_05,RET_C,51,51.0,1.0,0,1.0,17.22,0.120327,1.05
1,SKU_11,RET_C,101,101.0,1.0,0,1.0,15.96,0.111523,1.113
1,SKU_05,RET_B,69,69.0,1.0,0,1.0,17.22,0.120327,1.0
1,SKU_05,RET_D,45,45.0,1.0,0,1.0,17.22,0.120327,1.0
1,SKU_11,RET_B,112,112.0,1.0,0,1.0,15.96,0.111523,1.06
1,SKU_11,RET_D,76,76.0,1.0,0,1.0,15.96,0.111523,1.06
1,SKU_07,RET_A,114,114.0,1.0,0,1.0,15.19,0.106142,1.07
1,SKU_07,RET_C,83,83.0,1.0,0,1.0,15.19,0.106142,1.05
1,SKU_10,RET_A,148,147.0,0.9932,0,1.0,14.46,0.101041,1.07
1,SKU_07,RET_B,90,90.0,1.0,0,1.0,15.19,0.106142,1.0
1,SKU_07,RET_D,61,61.0,1.0,0,1.0,15.19,0.106142,1.0
1,SKU_10,RET_C,112,111.0,0.9911,0,1.0,14.46,0.101041,1.05
1,SKU_10,RET_B,123,119.0,0.9675,0,1.0,14.46,0.101041,1.0
1,SKU_10,RET_D,84,82.0,0.9762,0,1.0,14.46,0.101041,1.0
1,SKU_01,RET_A,102,98.0,0.9608,0,1.0,12.97,0.09063,1.07
1,SKU_12,RET_A,176,166.0,0.9432,0,1.0,12.82,0.089581,1.07
1,SKU_01,RET_C,65,62.0,0.9538,0,1.0,12.97,0.09063,1.05
1,SKU_12,RET_C,97,92.0,0.9485,0,1.0,12.82,0.089581,1.05
1,SKU_02,RET_A,50,47.0,0.94,0,1.0,12.23,0.085459,1.07
1,SKU_01,RET_B,75,70.0,0.9333,0,1.0,12.97,0.09063,1.0
1,SKU_01,RET_D,52,49.0,0.9423,0,1.0,12.97,0.09063,1.0
1,SKU_02,RET_C,33,32.0,0.9697,0,1.0,12.23,0.085459,1.05
1,SKU_12,RET_B,119,110.0,0.9244,0,1.0,12.82,0.089581,1.0
1,SKU_12,RET_D,78,71.0,0.9103,0,1.0,12.82,0.089581,1.0
1,SKU_02,RET_B,42,38.0,0.9048,0,1.0,12.23,0.085459,1.0
1,SKU_02,RET_D,28,25.0,0.8929,0,1.0,12.23,0.085459,1.0
1,SKU_09,RET_A,146,127.0,0.8699,0,1.0,10.4,0.072671,1.07
1,SKU_09,RET_C,102,88.0,0.8627,0,1.0,10.4,0.072671,1.05
1,SKU_09,RET_B,116,98.0,0.8448,0,1.0,10.4,0.072671,1.0
1,SKU_09,RET_D,81,69.0,0.8519,0,1.0,10.4,0.072671,1.0
1,SKU_08,RET_A,103,87.0,0.8447,0,1.0,9.63,0.067291,1.07
1,SKU_08,RET_C,60,51.0,0.85,0,1.0,9.63,0.067291,1.05
1,SKU_08,RET_B,76,63.0,0.8289,0,1.0,9.63,0.067291,1.0
1,SKU_08,RET_D,53,44.0,0.8302,0,1.0,9.63,0.067291,1.0
1,SKU_04,RET_A,79,63.0,0.7975,0,1.0,8.25,0.057648,1.07
1,SKU_04,RET_C,54,43.0,0.7963,0,1.0,8.25,0.057648,1.05
1,SKU_04,RET_B,71,56.0,0.7887,0,1.0,8.25,0.057648,1.0
1,SKU_04,RET_D,41,32.0,0.7805,0,1.0,8.25,0.057648,1.0
1,SKU_06,RET_A,76,58.0,0.7632,0,1.0,7.16,0.050031,1.07
1,SKU_06,RET_C,50,38.0,0.76,0,1.0,7.16,0.050031,1.05
1,SKU_03,RET_A,95,72.0,0.7579,0,1.0,6.82,0.047656,1.07
1,SKU_03,RET_C,67,50.0,0.7463,0,1.0,6.82,0.047656,1.05
1,SKU_06,RET_B,54,41.0,0.7593,0,1.0,7.16,0.050031,1.0
1,SKU_06,RET_D,40,31.0,0.775,0,1.0,7.16,0.050031,1.0
1,SKU_03,RET_B,89,66.0,0.7416,0,1.0,6.82,0.047656,1.0
1,SKU_03,RET_D,57,43.0,0.7544,0,1.0,6.82,0.047656,1.0
2,SKU_05,RET_A,85,85.0,1.0,0,1.0,17.22,0.120327,1.07
2,SKU_11,RET_A,182,182.0,1.0,0,1.0,15.96,0.111523,1.1342
2,SKU_05,RET_C,66,66.0,1.0,0,1.0,17.22,0.120327,1.05
2,SKU_11,RET_C,112,112.0,1.0,0,1.0,15.96,0.111523,1.113
2,SKU_05,RET_B,82,82.0,1.0,0,1.0,17.22,0.120327,1.0
2,SKU_05,RET_D,42,42.0,1.0,0,1.0,17.22,0.120327,1.0
2,SKU_11,RET_B,126,126.0,1.0,0,1.0,15.96,0.111523,1.06
2,SKU_11,RET_D,87,87.0,1.0,0,1.0,15.96,0.111523,1.06
2,SKU_07,RET_A,123,123.0,1.0,0,1.0,15.19,0.106142,1.07
2,SKU_07,RET_C,85,85.0,1.0,0,1.0,15.19,0.106142,1.05
2,SKU_10,RET_A,171,170.0,0.9942,0,1.0,14.46,0.101041,1.07
2,SKU_07,RET_B,119,118.0,0.9916,0,1.0,15.19,0.106142,1.0
2,SKU_07,RET_D,72,72.0,1.0,0,1.0,15.19,0.106142,1.0
2,SKU_10,RET_C,123,122.0,0.9919,0,1.0,14.46,0.101041,1.05
2,SKU_10,RET_B,150,145.0,0.9667,0,1.0,14.46,0.101041,1.0
2,SKU_10,RET_D,93,91.0,0.9785,0,1.0,14.46,0.101041,1.0
2,SKU_01,RET_A,114,109.0,0.9561,0,1.0,12.97,0.09063,1.07
2,SKU_12,RET_A,174,164.0,0.9425,0,1.0,12.82,0.089581,1.07
2,SKU_01,RET_C,58,56.0,0.9655,0,1.0,12.97,0.09063,1.05
2,SKU_12,RET_C,107,101.0,0.9439,0,1.0,12.82,0.089581,1.05
2,SKU_02,RET_A,57,54.0,0.9474,0,1.0,12.23,0.085459,1.07
2,SKU_01,RET_B,89,83.0,0.9326,0,1.0,12.97,0.09063,1.0
2,SKU_01,RET_D,56,53.0,0.9464,0,1.0,12.97,0.09063,1.0
2,SKU_02,RET_C,39,37.0,0.9487,0,1.0,12.23,0.085459,1.05
2,SKU_12,RET_B,142,131.0,0.9225,0,1.0,12.82,0.089581,1.0
2,SKU_12,RET_D,89,82.0,0.9213,0,1.0,12.82,0.089581,1.0
2,SKU_02,RET_B,44,41.0,0.9318,0,1.0,12.23,0.085459,1.0
2,SKU_02,RET_D,29,27.0,0.931,0,1.0,12.23,0.085459,1.0
2,SKU_09,RET_A,169,147.0,0.8698,0,1.0,10.4,0.072671,1.07
2,SKU_09,RET_C,116,100.0,0.8621,0,1.0,10.4,0.072671,1.05
2,SKU_09,RET_B,144,122.0,0.8472,0,1.0,10.4,0.072671,1.0
2,SKU_09,RET_D,82,70.0,0.8537,0,1.0,10.4,0.072671,1.0
2,SKU_08,RET_A,120,101.0,0.8417,0,1.0,9.63,0.067291,1.07
2,SKU_08,RET_C,80,67.0,0.8375,0,1.0,9.63,0.067291,1.05
2,SKU_08,RET_B,87,72.0,0.8276,0,1.0,9.63,0.067291,1.0
2,SKU_08,RET_D,60,50.0,0.8333,0,1.0,9.63,0.067291,1.0
2,SKU_04,RET_A,83,66.0,0.7952,0,1.0,8.25,0.057648,1.07
2,SKU_04,RET_C,59,47.0,0.7966,0,1.0,8.25,0.057648,1.05
2,SKU_04,RET_B,70,55.0,0.7857,0,1.0,8.25,0.057648,1.0
2,SKU_04,RET_D,45,35.0,0.7778,0,1.0,8.25,0.057648,1.0
2,SKU_06,RET_A,77,59.0,0.7662,0,1.0,7.16,0.050031,1.07
2,SKU_06,RET_C,53,41.0,0.7736,0,1.0,7.16,0.050031,1.05
2,SKU_03,RET_A,115,87.0,0.7565,0,1.0,6.82,0.047656,1.07
2,SKU_03,RET_C,76,57.0,0.75,0,1.0,6.82,0.047656,1.05
2,SKU_06,RET_B,64,48.0,0.75,0,1.0,7.16,0.050031,1.0
2,SKU_06,RET_D,43,32.0,0.7442,0,1.0,7.16,0.050031,1.0
2,SKU_03,RET_B,101,75.0,0.7426,0,1.0,6.82,0.047656,1.0
2,SKU_03,RET_D,55,41.0,0.7455,0,1.0,6.82,0.047656,1.0
3,SKU_05,RET_A,97,97.0,1.0,0,1.0,17.22,0.120327,1.07
3,SKU_11,RET_A,184,184.0,1.0,0,1.0,15.96,0.111523,1.1342
3,SKU_05,RET_C,66,66.0,1.0,0,1.0,17.22,0.120327,1.05
3,SKU_11,RET_C,108,108.0,1.0,0,1.0,15.96,0.111523,1.113
3,SKU_05,RET_B,85,85.0,1.0,0,1.0,17.22,0.120327,1.0
3,SKU_05,RET_D,53,53.0,1.0,0,1.0,17.22,0.120327,1.0
3,SKU_11,RET_B,147,147.0,1.0,0,1.0,15.96,0.111523,1.06
3,SKU_11,RET_D,94,94.0,1.0,0,1.0,15.96,0.111523,1.06
3,SKU_07,RET_A,147,147.0,1.0,0,1.0,15.19,0.106142,1.07
3,SKU_07,RET_C,93,93.0,1.0,0,1.0,15.19,0.106142,1.05
3,SKU_10,RET_A,163,162.0,0.9939,0,1.0,14.46,0.101041,1.07
3,SKU_07,RET_B,116,115.0,0.9914,0,1.0,15.19,0.106142,1.0
3,SKU_07,RET_D,77,77.0,1.0,0,1.0,15.19,0.106142,1.0
3,SKU_10,RET_C,131,129.0,0.9847,0,1.0,14.46,0.101041,1.05
3,SKU_10,RET_B,168,162.0,0.9643,0,1.0,14.46,0.101041,1.0
3,SKU_10,RET_D,101,98.0,0.9703,0,1.0,14.46,0.101041,1.0
3,SKU_01,RET_A,131,125.0,0.9542,0,1.0,12.97,0.09063,1.07
3,SKU_12,RET_A,194,183.0,0.9433,0,1.0,12.82,0.089581,1.07
3,SKU_01,RET_C,79,75.0,0.9494,0,1.0,12.97,0.09063,1.05
3,SKU_12,RET_C,120,113.0,0.9417,0,1.0,12.82,0.089581,1.05
3,SKU_02,RET_A,67,63.0,0.9403,0,1.0,12.23,0.085459,1.07
3,SKU_01,RET_B,91,85.0,0.9341,0,1.0,12.97,0.09063,1.0
3,SKU_01,RET_D,61,57.0,0.9344,0,1.0,12.97,0.09063,1.0
3,SKU_02,RET_C,39,37.0,0.9487,0,1.0,12.23,0.085459,1.05
3,SKU_12,RET_B,138,127.0,0.9203,0,1.0,12.82,0.089581,1.0
3,SKU_12,RET_D,98,91.0,0.9286,0,1.0,12.82,0.089581,1.0
3,SKU_02,RET_B,57,52.0,0.9123,0,1.0,12.23,0.085459,1.0
3,SKU_02,RET_D,32,30.0,0.9375,0,1.0,12.23,0.085459,1.0
3,SKU_09,RET_A,185,161.0,0.8703,0,1.0,10.4,0.072671,1.07
3,SKU_09,RET_C,118,101.0,0.8559,0,1.0,10.4,0.072671,1.05
3,SKU_09,RET_B,142,120.0,0.8451,0,1.0,10.4,0.072671,1.0
3,SKU_09,RET_D,93,79.0,0.8495,0,1.0,10.4,0.072671,1.0
3,SKU_08,RET_A,122,103.0,0.8443,0,1.0,9.63,0.067291,1.07
3,SKU_08,RET_C,69,58.0,0.8406,0,1.0,9.63,0.067291,1.05
3,SKU_08,RET_B,96,79.0,0.8229,0,1.0,9.63,0.067291,1.0
3,SKU_08,RET_D,60,50.0,0.8333,0,1.0,9.63,0.067291,1.0
3,SKU_04,RET_A,108,87.0,0.8056,0,1.0,8.25,0.057648,1.07
3,SKU_04,RET_C,65,52.0,0.8,0,1.0,8.25,0.057648,1.05
3,SKU_04,RET_B,95,75.0,0.7895,0,1.0,8.25,0.057648,1.0
3,SKU_04,RET_D,49,38.0,0.7755,0,1.0,8.25,0.057648,1.0
3,SKU_06,RET_A,76,58.0,0.7632,0,1.0,7.16,0.050031,1.07
3,SKU_06,RET_C,56,43.0,0.7679,0,1.0,7.16,0.050031,1.05
3,SKU_03,RET_A,114,86.0,0.7544,0,1.0,6.82,0.047656,1.07
3,SKU_03,RET_C,73,55.0,0.7534,0,1.0,6.82,0.047656,1.05
3,SKU_06,RET_B,69,52.0,0.7536,0,1.0,7.16,0.050031,1.0
3,SKU_06,RET_D,43,32.0,0.7442,0,1.0,7.16,0.050031,1.0
3,SKU_03,RET_B,86,64.0,0.7442,0,1.0,6.82,0.047656,1.0
3,SKU_03,RET_D,65,48.0,0.7385,0,1.0,6.82,0.047656,1.0
4,SKU_05,RET_A,100,89.0,0.89,0,1.0,17.22,0.120327,1.07
4,SKU_11,RET_A,182,160.0,0.8791,0,1.0,15.96,0.111523,1.1342
4,SKU_05,RET_C,70,62.0,0.8857,0,1.0,17.22,0.120327,1.05
4,SKU_11,RET_C,118,103.0,0.8729,0,1.0,15.96,0.111523,1.113
4,SKU_05,RET_B,88,76.0,0.8636,0,1.0,17.22,0.120327,1.0
4,SKU_05,RET_D,57,50.0,0.8772,0,1.0,17.22,0.120327,1.0
4,SKU_11,RET_B,149,128.0,0.8591,0,1.0,15.96,0.111523,1.06
4,SKU_11,RET_D,102,88.0,0.8627,0,1.0,15.96,0.111523,1.06
4,SKU_07,RET_A,148,125.0,0.8446,0,1.0,15.19,0.106142,1.07
4,SKU_07,RET_C,109,92.0,0.844,0,1.0,15.19,0.106142,1.05
4,SKU_10,RET_A,220,183.0,0.8318,0,1.0,14.46,0.101041,1.07
4,SKU_07,RET_B,128,106.0,0.8281,0,1.0,15.19,0.106142,1.0
4,SKU_07,RET_D,76,63.0,0.8289,0,1.0,15.19,0.106142,1.0
4,SKU_10,RET_C,136,112.0,0.8235,0,1.0,14.46,0.101041,1.05
4,SKU_10,RET_B,152,124.0,0.8158,0,1.0,14.46,0.101041,1.0
4,SKU_10,RET_D,104,85.0,0.8173,0,1.0,14.46,0.101041,1.0
4,SKU_01,RET_A,127,102.0,0.8031,0,1.0,12.97,0.09063,1.07
4,SKU_12,RET_A,198,158.0,0.798,0,1.0,12.82,0.089581,1.07
4,SKU_01,RET_C,79,63.0,0.7975,0,1.0,12.97,0.09063,1.05
4,SKU_12,RET_C,136,108.0,0.7941,0,1.0,12.82,0.089581,1.05
4,SKU_02,RET_A,71,56.0,0.7887,0,1.0,12.23,0.085459,1.07
4,SKU_01,RET_B,108,85.0,0.787,0,1.0,12.97,0.09063,1.0
4,SKU_01,RET_D,72,57.0,0.7917,0,1.0,12.97,0.09063,1.0
4,SKU_02,RET_C,43,34.0,0.7907,0,1.0,12.23,0.085459,1.05
4,SKU_12,RET_B,147,114.0,0.7755,0,1.0,12.82,0.089581,1.0
4,SKU_12,RET_D,104,81.0,0.7788,0,1.0,12.82,0.089581,1.0
4,SKU_02,RET_B,59,45.0,0.7627,0,1.0,12.23,0.085459,1.0
4,SKU_02,RET_D,36,27.0,0.75,0,1.0,12.23,0.085459,1.0
4,SKU_09,RET_A,208,156.0,0.75,0,1.0,10.4,0.072671,1.07
4,SKU_09,RET_C,119,88.0,0.7395,0,1.0,10.4,0.072671,1.05
